sim,radiotype,radio,carrier,mcc,mnc,area,cellid,enbrnc,lcid,xarfcn,unit,band,fc,sigl,asu,signal,lat,lon,acc,time,speed,bearing,alt,api,device,rsrq,rssnr,ss,cqi,ta,rssi_cdma,rssi_evdo,ecio_cdma,ecio_evdo,n_radiotype,n_xarfcn,n_unit,n_band,n_fc,n_signal,n_rsrq
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,59,-81,35.7664456,51.5623,8.2,1.71844E+12,0.9,136.1,1595.9,33,Xiaomi_Redmi_Note_8,-13,2,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23113997,90289,13,0,139,0,0,4,60,-80,35.7664166,51.5623656,9.9,1.71844E+12,1,122.3,1591,33,Xiaomi_Redmi_Note_8,-11,2,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23113997,90289,13,0,139,0,0,4,57,-83,35.7663902,51.5623897,9,1.71844E+12,1,129.7,1593.4,33,Xiaomi_Redmi_Note_8,-16,0,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23113997,90289,13,0,139,0,0,4,60,-80,35.7663633,51.5624326,10.6,1.71844E+12,1.1,124.3,1597.3,33,Xiaomi_Redmi_Note_8,-16,-4,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23113997,90289,13,0,139,0,0,4,62,-78,35.7663344,51.5624868,11.1,1.71844E+12,1.1,117.8,1595.9,33,Xiaomi_Redmi_Note_8,-13,-2,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23113997,90289,13,0,139,0,0,4,58,-82,35.7663383,51.5625955,8.7,1.71844E+12,1.1,121.3,1595.9,33,Xiaomi_Redmi_Note_8,-13,2,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23113997,90289,13,0,139,0,0,4,60,-80,35.7663072,51.5626536,7.2,1.71844E+12,1,125.6,1597.3,33,Xiaomi_Redmi_Note_8,-16,0,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,62,-78,35.7662679,51.5627278,6.9,1.71844E+12,1.1,120.4,1591.2,33,Xiaomi_Redmi_Note_8,-12,6,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,61,-79,35.7662316,51.5627872,6.3,1.71844E+12,1.1,124.1,1597.3,33,Xiaomi_Redmi_Note_8,-14,6,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,54,-86,35.7662012,51.5628415,6.6,1.71844E+12,1,133.3,1595.9,33,Xiaomi_Redmi_Note_8,-12,-2,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,63,-77,35.7661945,51.5628784,7.3,1.71844E+12,0.9,83.3,1591,33,Xiaomi_Redmi_Note_8,-12,4,-1000,-1,-1,,,,,,,,,,,
